Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
group12,com.example.Trello.Group12.board,Board,Board,2,1,0
group12,com.example.Trello.Group12.board,Board,Board,3,1,1
group12,com.example.Trello.Group12.board,Board,Board,4,1,2
group12,com.example.Trello.Group12.board,Board,addTask,3,1,1
group12,com.example.Trello.Group12.board,Board,getID,3,1,0
group12,com.example.Trello.Group12.board,Board,getTitle,3,1,0
group12,com.example.Trello.Group12.board,Board,setID,3,1,1
group12,com.example.Trello.Group12.board,Board,setTitle,3,1,1
group12,com.example.Trello.Group12.board,BoardController,getBoard,3,1,1
group12,com.example.Trello.Group12.board,BoardController,addTaskToBoard,11,1,2
group12,com.example.Trello.Group12.board,BoardService,getBoard,6,2,1
group12,com.example.Trello.Group12.board,BoardService,addTask,14,2,4
group12,com.example.Trello.Group12,Group12Application,main,3,1,1
group12,com.example.Trello.Group12,Group12Tests,contextLoads,6,1,0
group12,com.example.Trello.Group12,Group12Tests,testFindByEmail,6,1,0
group12,com.example.Trello.Group12,Group12Tests,testCreateUser,5,1,0
group12,com.example.Trello.Group12,Group12Tests,testLogin,6,1,0
group12,com.example.Trello.Group12,Group12Tests,testForgotPassword,7,1,0
group12,com.example.Trello.Group12,Group12Tests,testGetWorkspaces,9,1,0
group12,com.example.Trello.Group12,Group12Tests,testCreateWorkspace,9,1,0
group12,com.example.Trello.Group12,Group12Tests,testGetWorkspaceByID,9,1,0
group12,com.example.Trello.Group12,Group12Tests,testAddMemberToWorkspace,12,1,0
group12,com.example.Trello.Group12,Group12Tests,testUpdateWorkspaceDetails,11,1,0
group12,com.example.Trello.Group12,Group12Tests,testCreateBoard,12,1,0
group12,com.example.Trello.Group12,Group12Tests,testGetBoards,12,1,0
group12,com.example.Trello.Group12,Group12Tests,testGetBoardByID,11,1,0
group12,com.example.Trello.Group12,Group12Tests,testDeleteBoard,11,1,0
group12,com.example.Trello.Group12,Group12Tests,testCreateTask,13,1,0
group12,com.example.Trello.Group12,Group12Tests,testAssignMembersToTask,15,1,0
group12,com.example.Trello.Group12,Group12Tests,testChangeTaskStatus,13,1,0
group12,com.example.Trello.Group12,Group12Tests,testSearchTasks,16,1,0
group12,com.example.Trello.Group12.security,WebSecurityConfig,configure,3,1,1
group12,com.example.Trello.Group12.task,Task,Task,2,1,0
group12,com.example.Trello.Group12.task,Task,Task,6,1,4
group12,com.example.Trello.Group12.task,Task,addAssignee,3,1,1
group12,com.example.Trello.Group12.task,Task,getUsers,3,1,0
group12,com.example.Trello.Group12.task,Task,getID,3,1,0
group12,com.example.Trello.Group12.task,Task,setID,3,1,1
group12,com.example.Trello.Group12.task,Task,getName,3,1,0
group12,com.example.Trello.Group12.task,Task,setName,3,1,1
group12,com.example.Trello.Group12.task,Task,setStatus,3,1,1
group12,com.example.Trello.Group12.task,Task,getStatus,3,1,0
group12,com.example.Trello.Group12.task,TaskController,getTask,3,1,1
group12,com.example.Trello.Group12.task,TaskController,changeStatus,4,1,2
group12,com.example.Trello.Group12.task,TaskService,getTasks,3,1,0
group12,com.example.Trello.Group12.task,TaskService,getTask,6,2,1
group12,com.example.Trello.Group12.task,TaskService,changeStatus,8,2,2
group12,com.example.Trello.Group12.task,TaskService,searchTasks,4,1,1
group12,com.example.Trello.Group12.task,TaskService,assignUserToTask,13,3,2
group12,com.example.Trello.Group12.user,User,User,2,1,0
group12,com.example.Trello.Group12.user,User,getWorkspaces,3,1,0
group12,com.example.Trello.Group12.user,User,setWorkspaces,3,1,1
group12,com.example.Trello.Group12.user,User,User,5,1,3
group12,com.example.Trello.Group12.user,User,getID,3,1,0
group12,com.example.Trello.Group12.user,User,setID,3,1,1
group12,com.example.Trello.Group12.user,User,getEmail,3,1,0
group12,com.example.Trello.Group12.user,User,setEmail,3,1,1
group12,com.example.Trello.Group12.user,User,getPassword,3,1,0
group12,com.example.Trello.Group12.user,User,setPassword,3,1,1
group12,com.example.Trello.Group12.user,User,getAnswer,3,1,0
group12,com.example.Trello.Group12.user,User,setAnswer,3,1,1
group12,com.example.Trello.Group12.user,User,toString,3,1,0
group12,com.example.Trello.Group12.user,UserController,getWorkspaces,3,1,1
group12,com.example.Trello.Group12.user,UserController,registerUser,3,1,1
group12,com.example.Trello.Group12.user,UserController,login,5,1,1
group12,com.example.Trello.Group12.user,UserController,forgotPassword,6,1,1
group12,com.example.Trello.Group12.user,UserRepo,findByEmail,0,1,1
group12,com.example.Trello.Group12.user,UserService,registerUser,9,2,1
group12,com.example.Trello.Group12.user,UserService,login,14,3,2
group12,com.example.Trello.Group12.user,UserService,forgotPassword,11,2,3
group12,com.example.Trello.Group12.user,UserService,getWorkspaces,9,2,1
group12,com.example.Trello.Group12.workspace,Workspace,Workspace,2,1,0
group12,com.example.Trello.Group12.workspace,Workspace,setBoards,3,1,1
group12,com.example.Trello.Group12.workspace,Workspace,getBoards,3,1,0
group12,com.example.Trello.Group12.workspace,Workspace,addBoard,3,1,1
group12,com.example.Trello.Group12.workspace,Workspace,Workspace,5,1,3
group12,com.example.Trello.Group12.workspace,Workspace,Workspace,6,1,4
group12,com.example.Trello.Group12.workspace,Workspace,getMembers,3,1,0
group12,com.example.Trello.Group12.workspace,Workspace,addMember,3,1,1
group12,com.example.Trello.Group12.workspace,Workspace,getTitle,3,1,0
group12,com.example.Trello.Group12.workspace,Workspace,getID,3,1,0
group12,com.example.Trello.Group12.workspace,Workspace,getDescription,3,1,0
group12,com.example.Trello.Group12.workspace,Workspace,setTitle,3,1,1
group12,com.example.Trello.Group12.workspace,Workspace,setID,3,1,1
group12,com.example.Trello.Group12.workspace,Workspace,setDescription,3,1,1
group12,com.example.Trello.Group12.workspace,Workspace,toString,3,1,0
group12,com.example.Trello.Group12.workspace,WorkspaceController,getWorkspace,3,1,1
group12,com.example.Trello.Group12.workspace,WorkspaceController,getWorkspacesByUserID,3,1,1
group12,com.example.Trello.Group12.workspace,WorkspaceController,createWorkspace,6,1,1
group12,com.example.Trello.Group12.workspace,WorkspaceController,updateWorkspace,5,1,2
group12,com.example.Trello.Group12.workspace,WorkspaceController,addUserToWorkspace,4,1,2
group12,com.example.Trello.Group12.workspace,WorkspaceController,addBoardToWorkspace,4,1,2
group12,com.example.Trello.Group12.workspace,WorkspaceController,deleteBoardInWorkspace,3,1,2
group12,com.example.Trello.Group12.workspace,WorkspaceRepo,findByUserID,0,1,1
group12,com.example.Trello.Group12.workspace,WorkspaceService,createWorkspace,10,2,3
group12,com.example.Trello.Group12.workspace,WorkspaceService,updateWorkspace,6,1,3
group12,com.example.Trello.Group12.workspace,WorkspaceService,addUserToWorkspace,5,1,2
group12,com.example.Trello.Group12.workspace,WorkspaceService,addBoardToWorkspace,7,1,2
group12,com.example.Trello.Group12.workspace,WorkspaceService,deleteBoardInWorkspace,7,1,2
group12,com.example.Trello.Group12.workspace,WorkspaceService,getBoards,9,2,1
group12,com.example.Trello.Group12.workspace,WorkspaceService,getWorkspacesByUserId,9,2,1
